,Element Name,Element Type,Database,PosReg Name,PosReg Type,PosReg ID,,NegReg Name,NegReg Type,NegReg ID,,Connection Type,Negative Reg DB,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
2045,dnmt1,protein,p26358,rb,protein,p06400, , , , , ,i,"[' ', ' ', ' ', ' ']","['activation', 'complex', 'activation', 'activation']","['pmc4264040', 'pmc4264040', 'pmc4264040', 'pmc4264040']","['together, these data suggest that rb upregulates dnmt1 and thereby maintains msc properties and prevents senescence.', 'to demonstrate that rb upregulates dnmt1 in early-passage mscs through the above mentioned mechanism, we first showed that rb bound with c-jun rather than e2f1 in early-passage mscs (xref_fig a and 5b).', 'to further demonstrate that rb upregulation of dnmt1 in early-passage mscs requires c-jun binding, we transfected mscs with c-jun shrnas.', 'it was previously reported that the dnmt1 promoter could be repressed by the rb tumor suppressor in the mouse embryonal carcinoma cell line p-19 (xref_bibr).']",4,1,40,1,44
2047,dnmt1 expression, , ,rb,protein,p06400, , , , , ,i,"[' ', ' ', ' ', ' ']","['inhibition', 'increaseamount', 'increaseamount', 'inhibition']","['pmc4264040', 'pmc4264040', 'pmc4264040', 'pmc4264040']","['these results demonstrate that rb expressed in early-passage mscs upregulates dnmt1 expression and inhibits senescence in mscs.', 'these data suggest that rb upregulates dnmt1 expression in early-passage mscs, which is dependent on rb phosphorylation.', 'rb induces dnmt1 expression through cooperation with c-jun.', 'a previous report demonstrated that rb modulates dnmt1 expression either by binding with c-jun to a noncanonical ap-1 site in the dnmt1 promoter and thereby activating dnmt1 promoter activity, or by binding with e2f1 and thereby blocking e2f1 induced dnmt1 promoter activity (xref_bibr).']",4,1,40,1,44
2758,foxo1a and foxo3a at t24/s256, , ,akt,family,akt, , , , , ,i,"[' ', ' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2996947', 'pmc2996947', 'pmc2996947', 'pmc2996947']","['akt directly phosphorylates foxo1a and foxo3a at t24 / s256 and t32 / s253, respectively, excluding the proteins from the nucleus and effectively inhibiting their transcriptional activities [xref_bibr, xref_bibr].', 'akt directly phosphorylates foxo1a and foxo3a at t24 / s256 and t32 / s253, respectively, excluding the proteins from the nucleus and effectively inhibiting their transcriptional activities [xref_bibr, xref_bibr].', 'akt directly phosphorylates foxo1a and foxo3a at t24 / s256 and t32 / s253, respectively, excluding the proteins from the nucleus and effectively inhibiting their transcriptional activities [xref_bibr, xref_bibr].', 'akt directly phosphorylates foxo1a and foxo3a at t24 / s256 and t32 / s253, respectively, excluding the proteins from the nucleus and effectively inhibiting their transcriptional activities [xref_bibr, xref_bibr].']",4,1,40,1,44
5239,runx2,protein,q13950,akt,family,akt, , , , , ,i,"[' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation']","['pmc4513933', 'pmc4513933', 'pmc4513933', 'pmc4513933']","['this mutual activation in the context of cancer cells exhibiting constitutive akt activation and high levels of runx2 might constitute a major driving force in tumor progression and aggressiveness.', 'these studies altogether show that akt activity positively regulates runx2 stability through ubiquitin / proteasome mediated degradation of smurf2 or nuclear exclusion of foxo1 and foxo3, depending on the cellular system.', 'additional studies demonstrate that akt also positively regulates runx2 activity through indirect mechanisms, involving foxo1, foxo4 and glycogen synthase kinase 3 Î² (gsk3 Î²).', 'this indirect mechanism of runx2 activation by the pi3k / akt pathway is also described in human tumor cells.']",4,1,40,1,44
1404,cell migration,bioprocess,go:0016477,pten,protein,p60484, , , , , ,i,"[' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'inhibition']","['pmc2156182', 'pmc2156182', 'pmc2156182', 'pmc2156182']","['these results identify two distinct, additive pathways regulating cell migration that are downregulated by tumor suppressor pten : one involves shc, a map kinase pathway, and random migration, whereas the other involves fak, p130 cas, more extensive actin cytoskeletal organization, focal contacts, and directionally persistent cell motility.', 'to test for a role of shc in cell migration modulated by pten, we cotransfected pten and puromycin resistance plasmids with shc (or fak as a positive control), and selected transfectants for 2 d using puromycin.', 'this simple additivity of migration suggests the existence of two parallel biological pathways originating from shc and fak affecting cell migration modulated by pten.', 'because many studies indicate that pten inhibits cell growth and leads to apoptosis through inhibition of the pkb / akt pathway, an obvious question is whether pten mediated inhibition of akt affects cell migration.']",4,1,40,1,44
1388,cell migration,bioprocess,go:0016477,egfr,protein,p00533, , , , , ,i,"[' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation']","['pmc3711644', 'pmc3711644', 'pmc3711644', 'pmc3711644']","['interestingly, knockdown of nck1 but not nck2 selectively suppressed egfr induced cell migration on vitronectin (xref_fig).', 'however, knockdown of either crkl or crki inhibited cell migration in general, blocking both egfr mediated cell migration on vitronectin as well as the constitutive cell migration on collagen (xref_supplementary).', 'these findings indicate that nck1 is specifically required for the egfr mediated carcinoma cell migration response while both crk family members appear to have a more generalized role in carcinoma cell migration.', 'thus, nck1 through its coupling to cas appears to be required for the egfr mediated cell migration on vitronectin.']",4,1,40,1,44
2482,expression of ifit1 and ifi27, , ,egfr,protein,p00533, , , , , ,i,"[' ', ' ', ' ', ' ']","['increaseamount', 'regulation', 'regulation', 'decreaseamount']","['pmc4268886', 'pmc4268886', 'pmc4268886', 'pmc4268886']","['to further examine constitutive egfr signaling, we looked at egfr induced expression of ifit1 and ifi27 expression by quantitative real time pcr.', 'surprisingly, addition of egf to cells abrogated egfr induced expression of ifit1 and ifi27 (xref_fig) arguing against an autocrine mechanism for expression of these genes.', 'we silenced irf3 using sirna and compared constitutive egfr induced expression of ifit1 and ifi27 in u251egfr cells.', 'furthermore, re-expression of irf3 following irf3 knockdown restored egfr induced expression of ifit1 and ifi27, arguing against a non specific sirna effect and supporting a specific role for irf3 (xref_fig).']",4,1,40,1,44
4348,p53 mut,protein,uaz09728,akt,family,akt, , , , , ,i,"[' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation']","['pmc4171619', 'pmc4171619', 'pmc4171619', 'pmc4171619']","['inhibition of akt decreases p53 mut stability in a npm and arf dependent manner.', 'the data presented above suggests that inhibition of akt promotes increased turnover of p53 mut.', 'inhibition of akt with mk-2206 mediates reduction in p53 mut and clonogenic survival upon exposure to ir (fig.', 'our results suggest that akt contributes to this effect by stabilizing p53 mut protein, however, previous reports indicate that akt reduces p53 levels via nuclear targeting of mdm2.']",4,1,40,1,44
713,apoptosis,bioprocess,go:0006915,torc1,protein,mtorc1, , , , , ,i,"[' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation']","['pmc4014429', 'pmc4014429', 'pmc4014429', 'pmc4014429']","['since previous studies showed that high torc1 activities induced synergistic apoptosis with rbf mutation xref_bibr, xref_bibr, we tested whether increased torc1 signaling activity contributes to synergistic cell death in axn rbf double mutant cells.', 'inhibition of torc1 activity by mutation of rheb, a direct upstream activator of torc1, significantly decreased apoptosis in axn s rbf mutant cells (xref_fig, quantified in 3f).', 'inhibition of torc1 activity by mutation of rheb, a direct upstream activator of torc1, significantly decreased apoptosis in axn s rbf mutant cells (xref_fig, quantified in 3f).', 'these observations are consistent with the previous studies, which showed increased torc1 activity by tsc1 or tsc2 mutation induced synergistic apoptosis with rb mutation xref_bibr, xref_bibr.']",4,1,40,1,44
5797,transcription,bioprocess,go:0006351,pi3k,protein,pi3k, , , , , ,i,"[' ', ' ', ' ', ' ']","['inhibition', 'inhibition', 'inhibition', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403', 'pmc4513933']","['the pi3k / akt pathway must be activated in g1 to inactivate forkhead transcription factors and allow cell cycle entry.', 'the pi3k / akt pathway must be activated in g1 to inactivate forkhead transcription factors and allow cell cycle entry.', 'the pi3k / akt pathway must be activated in g1 to inactivate forkhead transcription factors and allow cell cycle entry.', 'in addition to inducing the expression of runx2, earlier experiments show that activation of the pi3k / akt signaling pathway enhances dna binding of runx2 and runx2 dependent transcription in a mouse osteoblastic cell line [xref_bibr].']",4,1,40,1,44
333,akt1 both at thr308 and ser473, , ,pi3k,protein,pi3k, , , , , ,i,"[' ', ' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc3842210', 'pmc3842210', 'pmc3842210', 'pmc3842210']","['in the cell-free akt assay, pi3k phosphorylated akt1 both at thr308 and ser473 and akt2 at ser474 alone.', 'in the cell-free assay, pi3k (1 Î¼ g/ml) phosphorylated akt1 both at thr308 and ser473, which was abrogated by wortmannin (20 nm) (xref_fig a).', 'in the cell-free assay, pi3k phosphorylated akt1 both at thr308 and ser473, but pdk1 phosphorylated akt1 only at thr308.', 'the results also show that pi3k phosphorylates akt1 both at thr308 and ser473 and akt2 at ser474 and that pdk1, a downstream effector of pi3k, phosphorylates akt1 and akt2 at thr308 and thr309 respectively.']",4,1,40,1,44
332,akt1 both at thr308, , ,pi3k,protein,pi3k, , , , , ,i,"[' ', ' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc3842210', 'pmc3842210', 'pmc3842210', 'pmc3842210']","['in the cell-free akt assay, pi3k phosphorylated akt1 both at thr308 and ser473 and akt2 at ser474 alone.', 'in the cell-free assay, pi3k (1 Î¼ g/ml) phosphorylated akt1 both at thr308 and ser473, which was abrogated by wortmannin (20 nm) (xref_fig a).', 'in the cell-free assay, pi3k phosphorylated akt1 both at thr308 and ser473, but pdk1 phosphorylated akt1 only at thr308.', 'the results also show that pi3k phosphorylates akt1 both at thr308 and ser473 and akt2 at ser474 and that pdk1, a downstream effector of pi3k, phosphorylates akt1 and akt2 at thr308 and thr309 respectively.']",4,1,40,1,44
5896,tsc1, , ,akt,family,akt, , , , , ,i,"[' ', ' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2706976', 'pmc2706976', 'pmc2706976', 'pmc2706976']","['in sum, the ability of all three transgenes to rescue tsc1 29 mutants from early lethality to adulthood suggests that phosphorylation of tsc1 by akt is not critical for normal development in drosophila.', 'flies simultaneously lacking akt phosphorylation of tsc1 and tsc2 are viable but have mild metabolic defects.', 'since we found here that akt also phosphorylates tsc1 in drosophila, this raised the possibility that the phosphorylation of tsc1 and tsc2 by akt are functionally redundant, and that a phenotype is only revealed when both are abrogated.', 'since we found here that akt also phosphorylates tsc1 in drosophila, this raised the possibility that the phosphorylation of tsc1 and tsc2 by akt are functionally redundant, and that a phenotype is only revealed when both are abrogated.']",4,1,40,1,44
5882,trg-induced apoptosis, , ,pi3k,protein,pi3k, , , , , ,i,"[' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation']","['pmc3009957', 'pmc3009957', 'pmc3009957', 'pmc3009957']","['these studies indicate that trg induced apoptosis is modulated by pi3k pathway in a novel akt independent manner, which might contribute to its tumor promoting effects.', 'to determine whether pi3k modulated trg induced apoptosis in other hcc cells, studies were designed with hep3b hcc cell line.', 'these studies suggest that pi3k modulation of trg induced apoptosis is a generalized event in various hcc cells.', 'these studies provided evidence that trg induced apoptosis is modulated by pi3k pathway, an antagonism of which is required for induction of apoptosis.']",4,1,40,1,44
469,angiogenesis,bioprocess,go:0001525,pi3k,protein,pi3k, , , , , ,i,"[' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2278143', 'pmc2652403']","['over-expression of the v-p3k protein or of cellular pi3k equipped with a myristylation signal, myr-p3k, induced angiogenesis in the chorioallantoic membrane (cam) of the chicken embryo [xref_bibr].', 'over-expression of the v-p3k protein or of cellular pi3k equipped with a myristylation signal, myr-p3k, induced angiogenesis in the chorioallantoic membrane (cam) of the chicken embryo [xref_bibr].', 'furthermore, our data demonstrate that inhibition of pi3k / akt and mek / erk pathways converge to inhibit angiogenesis through activation of foxo transcription factors.', 'over-expression of the v-p3k protein or of cellular pi3k equipped with a myristylation signal, myr-p3k, induced angiogenesis in the chorioallantoic membrane (cam) of the chicken embryo [xref_bibr].']",4,1,40,1,44
397,alt,protein,q38424,hr,protein,o43593, , , , , ,i,"[' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation']","['pmc4501375', 'pmc4501375', 'pmc4501375', 'pmc4501375']","['we propose that defective telomere chromatinization through loss of atrx promotes the persistence of aberrant dna secondary structures, which in turn present a barrier to dna replication, leading to replication fork stalling, collapse, hr and subsequent recombination mediated telomere synthesis in alt cancers.', 'there is mounting evidence that the hr mediated repair of stalled replication forks is a key determinant of the alt pathway.', 'we propose that defective telomere chromatinization through loss of atrx promotes the persistence of aberrant dna secondary structures, which in turn present a barrier to dna replication, leading to replication fork stalling, collapse, hr and subsequent recombination mediated telomere synthesis in alt cancers.', 'there is mounting evidence that the hr mediated repair of stalled replication forks is a key determinant of the alt pathway.']",4,1,40,1,44
639,apoptosis,bioprocess,go:0006915,foxo3a,protein,o43524, , , , , ,i,"[' ', ' ', ' ', ' ']","['inhibition', 'activation', 'activation', 'activation']","['pmc3734838', 'pmc3734838', 'pmc3734838', 'pmc3181262']","['in summary, our results show that selenite could induce ros dependent foxo3a mediated apoptosis in crc cells and xenograft tumors through pten mediated inhibition of the pi3k / akt survival axis.', 'akt / foxo3a signaling is correlated with selenite induced apoptosis in crc cells.', 'subsequently, we attempted to determine the role of akt / foxo3a in selenite induced apoptosis of crc cells.', 'overexpression of foxo1, foxo1-tm, foxo3a and foxo3a-tm induced apoptosis in both panc-1 and aspc-1 cells.']",4,1,40,1,44
2481,expression of ifit1, , ,egfr,protein,p00533, , , , , ,i,"[' ', ' ', ' ', ' ']","['increaseamount', 'regulation', 'regulation', 'decreaseamount']","['pmc4268886', 'pmc4268886', 'pmc4268886', 'pmc4268886']","['to further examine constitutive egfr signaling, we looked at egfr induced expression of ifit1 and ifi27 expression by quantitative real time pcr.', 'surprisingly, addition of egf to cells abrogated egfr induced expression of ifit1 and ifi27 (xref_fig) arguing against an autocrine mechanism for expression of these genes.', 'we silenced irf3 using sirna and compared constitutive egfr induced expression of ifit1 and ifi27 in u251egfr cells.', 'furthermore, re-expression of irf3 following irf3 knockdown restored egfr induced expression of ifit1 and ifi27, arguing against a non specific sirna effect and supporting a specific role for irf3 (xref_fig).']",4,1,40,1,44
696,apoptosis,bioprocess,go:0006915,resveratrol,simple-chemical,445154, , , , , ,i,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'inhibition', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation']","['pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262', 'pmc3181262']","['resveratrol induced apoptosis by up-regulating bim and activating caspase-3.', 'furthermore, we recently demonstrated that resveratrol induced apoptosis by activating capase-3/7 and inhibiting the expression of bcl-2 and xiap in human pancreatic cancer stem cells (cscs) xref_bibr.', 'we therefore examined whether resveratrol induces apoptosis through activation of caspase-3 in pancreatic cancer cell lines (xref_fig).', 'these data suggest that resveratrol induces apoptosis through activation of caspase-3 in pancreatic cancer cells.', 'resveratrol induced apoptosis in panc-1, mia paca-2, hs766t and aspc-1 cells in a dose dependent manner.', 'these data suggest that resveratrol can induce apoptosis in pancreatic cancer cells irrespective of their kras status, and thus can be used as a cancer preventive agent.', 'over all, these data suggest that resveratrol causes growth arrest and induces apoptosis through regulation of foxo target genes such as cyclin d1, p21 / cip1, p27 / kip1 and bim.', 'inhibition of pi3k / akt and map kinase pathways enhance resveratrol induced apoptosis.', 'these data suggest that resveratrol inhibits growth and induces apoptosis through regulation of ras/raf/map kinase pathway.', 'we next examined whether resveratrol induces apoptosis through pi3k / akt pathway (xref_fig).', 'these data suggest that inhibition of pi3k / akt pathway enhances resveratrol induced apoptosis in pancreatic cancer cells.', 'since inhibition of pi3k / akt and mek / erk pathways together induce apoptosis in an additive or synergistic manner, we sought to examine whether these pathways act together to regulate resveratrol induced apoptosis.', 'based on these data, it can be suggested that the inhibition of pi3k / akt and mek / erk pathways act together to enhance resveratrol induced apoptosis.', 'foxo transcription factors regulate resveratrol induced apoptosis in pancreatic cancer cells.', 'we therefore examined whether foxo transcription factors regulate apoptosis induced by resveratrol in pancreatic cancer cells.', 'resveratrol also induced apoptosis in both panc-1 and aspc-1 cells.', 'overexpression of foxo1-wt, foxo1-tm, foxo3a or foxo3a-tm further enhanced resveratrol induced apoptosis.', 'phosphorylation deficient mutants of foxo1 and foxo3a had more effects on resveratrol induced apoptosis than wild type counterparts.', 'these data suggest that the phosphorylation of foxo transcription factors plays a major role in their activities, and foxo (wild type and triple mutant) can enhance resveratrol induced apoptosis.', 'we next examined whether inhibition of foxo transcription factors by shrna abolishes resveratrol induced apoptosis (xref_fig).', 'resveratrol induced apoptosis in panc-1 and mia paca-2 cells transfected with scrambled vectors.', 'by comparison, inhibition of foxo1, foxo3a and foxo4 through shrna inhibited resveratrol induced apoptosis in panc-1 and mia paca-2 cells.', 'these data suggest that foxo transcription factors are required, at least in part, for induction of apoptosis by resveratrol.', 'since resveratrol induces apoptosis and foxo transcriptional activity, we next sought to examine the effects of resveratrol on phosphorylation of foxo1 and foxo3a in the cytoplasmic fractions (xref_fig, left panel).', 'resveratrol induced apoptosis and inhibited cell proliferation in tumor tissues in a dose dependent manner.', 'since resveratrol induced apoptosis and inhibited cell proliferation, we next sought to examine the molecular mechanisms of the effects of resveratrol.', 'in this paper we have demonstrated, for the first time, that polyphenolic compound resveratrol causes growth arrest and induces apoptosis through activation of foxo transcription factors.', 'resveratrol induces apoptosis through caspase-3 activation, and causes growth arrest through induction of p21 and p27 and inhibition of cyclin d1 which are the downstream targets of foxo.', 'in summary, we have demonstrated that resveratrol induces cell cycle arrest and apoptosis through regulation of foxo transcription factors.']",29,0.1,41,1,43.9
2965,h3.3,protein,uaz05902,daxx,protein,q9uer7, , , , , ,i,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['inhibition', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'inhibition', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'inhibition', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation']","['pmc4509593', 'pmc4770241', 'pmc3657165', 'pmc3657165', 'pmc3657165', 'pmc3657165', 'pmc3657165', 'pmc3657165', 'pmc4509593', 'pmc3657165', 'pmc3657165', 'pmc3657165', 'pmc3657165', 'pmc3657165', 'pmc3657165', 'pmc4770241', 'pmc3675705', 'pmc3675705', 'pmc3675705', 'pmc3675705', 'pmc4509593', 'pmc4770241', 'pmc3657165', 'pmc3657165', 'pmc3657165', 'pmc3657165', 'pmc3657165', 'pmc3657165']","['atrx and daxx deletion, but not hira, attenuated h3.3 enrichment at telomeres as well as at iap ervs, but not at etn / musd ervs (xref_fig and xref_fig), indicating that atrx / daxx is required for h3.3 enrichment at specific subclasses of ervs.', 'overall, these data support a model where atrx / daxx mediates deposition of h3.3 which can be modified with k9me3 to facilitate the maintenance of heterochromatin.', 'it has been speculated that daxx may mediate h3.3 loading at regulatory regions through its association with the histone chaperone dek (xref_bibr), but evidence for this function is still lacking.', 'here, we show that upon neuronal activation, daxx mediates h3.3 loading at regulatory regions of selected immediate early genes and contributes to their transcriptional induction.', 'in view of the presence of both proteins at regulatory regions of selected iegs, we speculated that daxx could promote h3.3 loading at these loci.', 'we next sought to understand whether daxx could regulate activity dependent transcription at loci where it promotes h3.3 loading.', 'as expected, wt daxx rescued h3.3 loading at bdnf exon iv and c-fos regulatory regions in cre infected daxx flox / flox neurons (xref_fig c).', 'because daxx loss impairs not only h3.3 loading, but also induction of activity regulated genes, it is possible that h3.3 deposition could underlie aspects of stimulus inducible gene transcription.', 'atrx and daxx deletion, but not hira, attenuated h3.3 enrichment at telomeres as well as at iap ervs, but not at etn / musd ervs (xref_fig and xref_fig), indicating that atrx / daxx is required for h3.3 enrichment at specific subclasses of ervs.', 'it has been speculated that daxx may mediate h3.3 loading at regulatory regions through its association with the histone chaperone dek (xref_bibr), but evidence for this function is still lacking.', 'here, we show that upon neuronal activation, daxx mediates h3.3 loading at regulatory regions of selected immediate early genes and contributes to their transcriptional induction.', 'in view of the presence of both proteins at regulatory regions of selected iegs, we speculated that daxx could promote h3.3 loading at these loci.', 'we next sought to understand whether daxx could regulate activity dependent transcription at loci where it promotes h3.3 loading.', 'as expected, wt daxx rescued h3.3 loading at bdnf exon iv and c-fos regulatory regions in cre infected daxx flox / flox neurons (xref_fig c).', 'because daxx loss impairs not only h3.3 loading, but also induction of activity regulated genes, it is possible that h3.3 deposition could underlie aspects of stimulus inducible gene transcription.', 'overall, these data support a model where atrx / daxx mediates deposition of h3.3 which can be modified with k9me3 to facilitate the maintenance of heterochromatin.', 'daxx and atrx mediate h3.3 loading onto telomeres and pericentric heterochromatin, with implications for transcription of telomeric and centromeric repeats (dran Ã© et al., xref_bibr; goldberg et al., xref_bibr; lewis et al., xref_bibr).', 'to incontrovertibly assess the role of daxx mediated h3.3 loading in transcription, one should test the ability of recently described daxx mutants impaired in histone binding (eustermann et al., xref_bibr; elsasser et al., xref_bibr) to rescue transcriptional defects observed in daxx deficient cells (michod et al., xref_bibr).', 'considering h3.3 enrichment at bivalent genes and the alteration of pcg / trxg activities in hematopoietic tumors (mills, xref_bibr; muntean and hess, xref_bibr), it could be hypothesized that daxx mediated h3.3 loading could affect bivalent gene expression in apl cells.', 'as h3.3 is enriched in h3k4me3, it is conceivable that pml-rar Î± could direct daxx mediated h3.3 deposition at a number of its gene targets.', 'atrx and daxx deletion, but not hira, attenuated h3.3 enrichment at telomeres as well as at iap ervs, but not at etn / musd ervs (xref_fig and xref_fig), indicating that atrx / daxx is required for h3.3 enrichment at specific subclasses of ervs.', 'overall, these data support a model where atrx / daxx mediates deposition of h3.3 which can be modified with k9me3 to facilitate the maintenance of heterochromatin.', 'it has been speculated that daxx may mediate h3.3 loading at regulatory regions through its association with the histone chaperone dek (xref_bibr), but evidence for this function is still lacking.', 'here, we show that upon neuronal activation, daxx mediates h3.3 loading at regulatory regions of selected immediate early genes and contributes to their transcriptional induction.', 'in view of the presence of both proteins at regulatory regions of selected iegs, we speculated that daxx could promote h3.3 loading at these loci.', 'we next sought to understand whether daxx could regulate activity dependent transcription at loci where it promotes h3.3 loading.', 'as expected, wt daxx rescued h3.3 loading at bdnf exon iv and c-fos regulatory regions in cre infected daxx flox / flox neurons (xref_fig c).', 'because daxx loss impairs not only h3.3 loading, but also induction of activity regulated genes, it is possible that h3.3 deposition could underlie aspects of stimulus inducible gene transcription.']",28,0.1,41,1,43.8
