,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
702,atm,protein,q13315,nan,nan,nan,nan,nan,gem,protein,p55040,nan,nan,nan,nan,nan,nan,nan,i,"['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc4159025', 'pmc4159025', 'pmc4159025']","['however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .', 'however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .', 'however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .']",3,100.0,40.0,1.0,340.0
80,4ebp1,protein,q13541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,rapamycin,chemical,5284616,nan,nan,i,"['generic_event', 'phosphorylation', 'phosphorylation']","['pmc2637922', 'pmc2637922', 'pmc4936323']","['because rapamycin can only partially inhibit the phosphorylation of 4ebp1 , but it can fully in inhibit the phosphorylation of s6k , rapamycin appears to be a substrate selective inhibitor of mtorc1 . ++++ because rapamycin can only partially inhibit the phosphorylation of 4ebp1 , but it can fully in inhibit the phosphorylation of s6k , rapamycin appears to be a substrate selective inhibitor of mtorc1 .', 'while pp242 was effective at blocking the phosphorylation of 4ebp1 on both t36/45 and s65 in all tissues examined , rapamycin did not block 4ebp1 phosphorylation as completely as pp242 .', 'in contrast , rapamycin temporarily suppressed 4ebp1 phosphorylation at thr70 from 2 to 12h and at thr37/46 and ser65 from 4 to 12h , but did not prevent phosphorylation at thr37/46 , thr70 and ser65 at 24 and 48h .']",3,100.0,40.0,1.0,340.0
3565,mtorc1,protein family|protein complex,mtorc1,nan,nan,nan,nan,nan,rheb-gtp,other,uaz00501,nan,nan,nan,nan,nan,nan,nan,i,"['none', 'none', 'none']","['pmc3660063', 'pmc3837323', 'pmc4102778']","['the mechanism ( s ) by which rheb-gtp activates mtorc1 have not been fully elucidated , however it requires rheb farnesylation and can be blocked by farnesyl transferase ( ft ) inhibitors .', 'the mechanism by which rheb-gtp activates mtorc1 has not been fully elucidated yet , although rheb requires farnesylation for activating mtorc1 [ xref_bibr ] .', 'the mechanism ( s ) by which rheb-gtp activates mtorc1 are not fully elucidated . ++++ rheb-gtp then activates the protein kinase activity of mtor present in the mtorc1 complex .']",3,100.0,40.0,1.0,340.0
5317,src,protein family|protein complex,src,other,go:0009986,cellosaurus:cvcl_0022,cl:cl:0000127,uberon:uberon:2005088,pkcdelta,protein,p83099,other,go:0009986,nan,nan,nan,nan,nan,d,"['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc3709701', 'pmc3709701', 'pmc3709701']","['in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place . ++++ in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .', 'in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .', 'in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .']",3,100.0,40.0,1.0,340.0
3872,p21,protein,p38936,nan,nan,cellosaurus:cvcl_0291,nan,nan,nan,nan,nan,nan,nan,pd0332991,chemical,5330286,nan,nan,i,"['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc3667761', 'pmc3667761', 'pmc3667761']","['pd0332991 ( 250 nm ) inhibited the t826 phosphorylation of prb ( not shown ) and partially the s130 phosphorylation of p21 , but apparently not the s98 phosphorylation ( xref_fig ) .', 'pd0332991 ( 250 nm ) inhibited the t826 phosphorylation of prb ( not shown ) and partially the s130 phosphorylation of p21 , but apparently not the s98 phosphorylation ( xref_fig ) .', 'whereas pd0332991 partly inhibited p21 phosphorylation , roscovitine alone was inactive .']",3,100.0,40.0,1.0,340.0
709,atm,protein,q13315,nan,nan,nan,nan,nan,nsc109555,other,uaz01916,nan,nan,gem,protein,p55040,nan,nan,i,"['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc4159025', 'pmc4159025', 'pmc4159025']","['however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .', 'however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .', 'however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .']",3,100.0,40.0,1.0,340.0
5591,tsc2,protein,p49815,nan,nan,nan,nan,nan,rosiglitazone,chemical,77999,nan,nan,nan,nan,nan,nan,nan,i,"['none', 'phosphorylation', 'phosphorylation']","['pmc1892639', 'pmc1892639', 'pmc1892639']","['as expected , upregulation of tsc2 by rosiglitazone coincided with downregulation of phosphorylated p70s6k ( xref_fig ) . ++++ rosiglitazone also increased the phosphorylation of p38 mapk , but inhibitors of p38 mapk and its downstream signal mk2 had no effect on rosiglitazone induced activation of tsc2 . ++++ we next examined if upregulation of tsc2 by rosiglitazone was associated with inhibition of mtor signaling as determined by evaluating the phosphorylation state of p70s6k , a downstream target of mtor . ++++ rosiglitazone increases the phosphorylation of p38 mapk , but blockade of p38 mapk and its downstream signals had no effect on rosiglitazone induced activation of tsc2 .', 'note that the rosiglitazone induced phosphorylation of tsc2 occurred at serine 1254 , but not at threonine 1462 sites , which are sites different from those phosphorylated by akt and ampk [ xref_bibr , xref_bibr ] .', 'we found that the ppargamma ligand rosiglitazone stimulated the phosphorylation of tsc2 at serine 1254 , but not threonine 1462 .']",3,100.0,40.0,1.0,340.0
3550,mtorc1,protein family|protein complex,mtorc1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,rad001,other,uaz00088,nan,nan,i,"['none', 'none']","['pmc3114848', 'pmc3291999']","['in this study , after a 24 h treatment , rad001 , but not bez235 , effectively inhibit the assembly or activity of both mtorc1 and mtorc2 .', 'the specific inhibition of mtorc1 by rad001 might induce upstream receptor tyrosine kinase signalling and akt upregulation , leading to the attenuation of its therapeutic effects [ xref_bibr ] .']",2,100.0,40.0,1.0,240.0
1726,chk1,protein,o14757,nan,nan,nan,nan,nan,gem,protein,p55040,nan,nan,nsc109555,other,uaz01916,nan,nan,i,"['phosphorylation', 'phosphorylation']","['pmc4159025', 'pmc4159025']","['however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .', 'however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .']",2,100.0,40.0,1.0,240.0
1725,chk1,protein,o14757,nan,nan,nan,nan,nan,gem,protein,p55040,nan,nan,nan,nan,nan,nan,nan,i,"['phosphorylation', 'phosphorylation']","['pmc4159025', 'pmc4159025']","['however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .', 'however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .']",2,100.0,40.0,1.0,240.0
4117,p53,protein,p04637,other,go:0005730,nan,nan,nan,nan,nan,nan,nan,nan,"hu*1, erk2*1-","other, protein","uaz02463, p28482",other,go:0005730,i,"['phosphorylation', 'phosphorylation']","['pmc3330700', 'pmc3330700']","['furthermore , knockdown of either erk1 or erk2 reduced hu induced atr activation , chk1 s345 phosphorylation , p53 s15 phosphorylation , and gammah2ax [ xref_bibr ] . ++++ furthermore , knockdown of either erk1 or erk2 reduced hu induced atr activation , chk1 s345 phosphorylation , p53 s15 phosphorylation , and gammah2ax [ xref_bibr ] .', 'furthermore , knockdown of either erk1 or erk2 reduced hu induced atr activation , chk1 s345 phosphorylation , p53 s15 phosphorylation , and gammah2ax [ xref_bibr ] .']",2,100.0,40.0,1.0,240.0
1724,chk1,protein,o14757,nan,nan,nan,nan,nan,etoposide,chemical,36462,nan,nan,nan,nan,nan,nan,nan,i,"['none', 'amount']","['pmc4381605', 'pmc4381605']","['instead these data suggested a requirement of mtorc2 for etoposide induced chk1 activation as sirna against raptor ( selective downregulation of mtorc1 ) did not affect chk1 , whereas sirna against rictor ( selective downregulation of mtorc2 ) did prevent etoposide induced chk1 phosphorylation and total chk1 protein level . ++++ mtorc2 complex is required for etoposide induced activation of chk1 .', 'instead these data suggested a requirement of mtorc2 for etoposide induced chk1 activation as sirna against raptor ( selective downregulation of mtorc1 ) did not affect chk1 , whereas sirna against rictor ( selective downregulation of mtorc2 ) did prevent etoposide induced chk1 phosphorylation and total chk1 protein level .']",2,100.0,40.0,1.0,240.0
1720,chk1,protein,o14757,nan,nan,nan,nan,nan,atr,protein,p20848,nan,nan,nan,nan,nan,nan,nan,i,"['none', 'none']","['pmc2925474', 'pmc2954851']","['the transducer proteins include the kinases atm and atm- and rad3 related ( atr ) ; atm and atr phosphorylates and thereby activates the checkpoint kinases chk1 and chk2 , which control hur cytoplasmic abundance and rna binding , respectively .', 'after dna damage or replication stress claspin is phosphorylated by chk1 , an event that is required for a claspin-chk1 interaction and subsequent full activation of chk1 by atr , in another example of the network nature of the ddr [ xref_bibr - xref_bibr ] .']",2,100.0,40.0,1.0,240.0
3883,p21,protein,p38936,nan,nan,nan,nan,nan,"cyclin*1, cyclin*1+","protein, protein","p12004, p12004",nan,nan,nan,nan,nan,nan,nan,i,"['phosphorylation', 'phosphorylation']","['pmc3667761', 'pmc3667761']","['the p21 s130 residue can be phosphorylated by cyclin e-cdk2 xref_bibr , xref_bibr and also by cdk6 activated by the viral cyclin k xref_bibr .', 'the p21 s130 residue can be phosphorylated by cyclin e-cdk2 xref_bibr , xref_bibr and also by cdk6 activated by the viral cyclin k xref_bibr .']",2,100.0,40.0,1.0,240.0
1719,chk1,protein,o14757,nan,nan,nan,nan,nan,atr,protein,p20848,nan,nan,nan,nan,nan,nan,nan,d,"['phosphorylation', 'phosphorylation']","['pmc2925474', 'pmc2925474']","['during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .', 'during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .']",2,100.0,40.0,1.0,240.0
3880,p21,protein,p38936,nan,nan,nan,nan,nan,cdk7,protein,p50613,nan,nan,nan,nan,nan,nan,nan,i,"['none', 'phosphorylation']","['pmc3667761', 'pmc3667761']","['importantly , inhibition of cdk7 by 1-nmpp1 prevented the appearance of the main and minor ( multi ) phosphorylated forms of p21 ( xref_fig ; xref_supplementary ) .', 'cdk4 activation correlates with s130 phosphorylation of p21 , which is prevented by cdk7 inhibition .']",2,100.0,40.0,1.0,240.0
602,apoptosis,biological process,go:0006915,nan,nan,nan,nan,nan,rapamycin,chemical,5284616,nan,nan,nan,nan,nan,nan,nan,i,"['none', 'none']","['pmc2075366', 'pmc3291999']","['rapamycin failed to prevent the reduction in apoptosis caused by pras40 knock down ( xref_fig ) .', 'regarding melanoma , rapamycin , may also synergistically increase apoptosis and chemosensitivity in melanoma cells [ xref_bibr , xref_bibr ] . ++++ compared to single agent therapy , the combination of rapamycin with chemotherapy enhances apoptosis in vitro and enhance anti-tumour efficacy in vivo .']",2,100.0,40.0,1.0,240.0
3442,mtor,protein,p42345,nan,nan,cellosaurus:cvcl_0031,nan,nan,etoposide,chemical,36462,nan,nan,nan,nan,nan,nan,nan,i,"['amount', 'phosphorylation']","['pmc4381605', 'pmc4381605']","['in addition , mtor protein levels were transiently increased by etoposide treatment in several cell lines . ++++ mtor protein level and phosphorylation at ser2448 were induced by increasing concentrations of etoposide .', 'mtor protein level and phosphorylation at ser2448 were induced by increasing concentrations of etoposide .']",2,100.0,40.0,1.0,240.0
333,akt,protein family|protein complex,akt,other,go:0016020,nan,nan,nan,phosphatidylinositol,chemical,53477912,other,go:0016020,nan,nan,nan,nan,nan,d,"['phosphorylation', 'phosphorylation']","['pmc3837323', 'pmc3837323']","['akt is then phosphorylated at thr 308 within its catalytic domain by phosphatidylinositol dependent kinase 1 ( pdk1 ) and at ser 473 within its c-terminus regulatory domain by mtor complex 2 ( mtorc2 , see later on ) , resulting in full activation of akt kinase ( xref_fig ) .', 'akt is then phosphorylated at thr 308 within its catalytic domain by phosphatidylinositol dependent kinase 1 ( pdk1 ) and at ser 473 within its c-terminus regulatory domain by mtor complex 2 ( mtorc2 , see later on ) , resulting in full activation of akt kinase ( xref_fig ) .']",2,100.0,40.0,1.0,240.0
1707,chk1,protein,o14757,nan,nan,cellosaurus:cvcl_0045,nan,nan,etoposide,chemical,36462,nan,nan,mtor,protein,p42345,nan,nan,i,"['phosphorylation', 'phosphorylation']","['pmc4381605', 'pmc4381605']","['furthermore , in other breast cancer cell lines ( hbl100 , mda-mb-231 and hcc1937 ) , pp242 and mtor sirna treatment in hbl100 cells inhibited all three chk1 phosphorylations induced by etoposide .', 'furthermore , in other breast cancer cell lines ( hbl100 , mda-mb-231 and hcc1937 ) , pp242 and mtor sirna treatment in hbl100 cells inhibited all three chk1 phosphorylations induced by etoposide .']",2,100.0,40.0,1.0,240.0
458,apoptosis,biological process,go:0006915,nan,nan,cellosaurus:cvcl_0152,nan,nan,dn-akt,protein,p54644,nan,nan,nan,nan,nan,nan,nan,i,"['none', 'none']","['pmc2915986', 'pmc3181262']","['overexpression of wild type pten or dn-akt induced apoptosis in aspc-1 and panc-1 cells .', 'overexpression of wild type pten or dn-akt induced apoptosis in aspc-1 and panc-1 cells .']",2,100.0,40.0,1.0,240.0
79,4ebp1,protein,q13541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,rad001,other,uaz00088,nan,nan,i,"['phosphorylation', 'phosphorylation']","['pmc3114848', 'pmc3114848']","['at a dose of 2 nm , rad001 effectively inhibited the phosphorylation of s6 and 4ebp1 ( s65 ) , but did not suppress 4ebp1 phosphorylation ( t37/46 ) and c-myc and cyclin d1 expression . ++++ rad001 at 2 nm strongly inhibited s6 and 4ebp1 ( s65 ) phosphorylation , but did not reduce the levels of p-4ebp1 ( t37/46 ) , c-myc and cyclin d1 . ++++ however , the combination of rad001 and bez235 effectively inhibited p-4ebp1 phosphorylation ( at t37/46 ) and reduced the levels of c-myc and cyclin d1 ( xref_fig ) .', 'rad001 at 2 nm strongly inhibited s6 and 4ebp1 ( s65 ) phosphorylation , but did not reduce the levels of p-4ebp1 ( t37/46 ) , c-myc and cyclin d1 .']",2,100.0,40.0,1.0,240.0
1706,chk1,protein,o14757,cytoplasm,go:0005737,nan,nan,nan,cdk1,protein,p06493,cytoplasm,go:0005737,nan,nan,nan,nan,nan,d,"['phosphorylation', 'phosphorylation']","['pmc2925474', 'pmc2925474']","['as recently reported , during mitosis cdk1 phosphorylates chk1 at s286 and s301 ; the mitotic phosphorylation of chk1 is accompanied by the translocation of chk1 to the cytoplasm [ xref_bibr ] .', 'as recently reported , during mitosis cdk1 phosphorylates chk1 at s286 and s301 ; the mitotic phosphorylation of chk1 is accompanied by the translocation of chk1 to the cytoplasm [ xref_bibr ] .']",2,100.0,40.0,1.0,240.0
